name,price
"HP Desktop Computer Intel i3 16GB 2TB HD 256GB SSD Windows 10 PC 22"" LCD Wi-Fi",149.94
Dell i5 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11,150.00
"HP Desktop Computer PC Intel Core 2 Duo 4GB HD Windows 10 w/ 19"" LCD WIFI",125.99
Dell Optiplex 9020 MT Desktop Intel i5-4570 3.2Ghz 16GB 512GB DVD W10 P,199.99
"Dell OptiPlex 5060 Tower Intel i5-8500 3.0GHz 8GB RAM 256GB SSD, Win10 Pro",299.99
HP Desktop Computer PC Core i5-4570 4th Gen 8GB 256GB SSD Windows 10 Pro Wi-Fi,165.35
Custom Gaming Desktop PC RGB Tempered Glass Intel i7 Quad 8GB 1TB Nvidia K620 2G,389.00
Dell OptiPlex 3040M Micro Mini i5-6500T 2.50Ghz 8GB Ram 500GB HDD Win10 Pro WiFi,135.00
,349.00
,69.99
Shop on eBay,20.00
"Lenovo Chromebook 11.6"" Google School Laptop Intel 4GB 16GB SSD WiFi Webcam HDMI",58.00
HP Gaming Computer PC 16GB 2TB 512GB SSD Nvidia GT1030 Graphics Win 10 Desktop,279.00
"Dell or hp Desktop PC Computer Core 16GB DUAL 22"" LCD Monitor SSD/HDD Win 10 Pro",279.99
Dell Desktop i7 Computer PC SFF Intel Core 8GB RAM 1TB HD Windows 10 Home Wi-Fi,219.12
🚩DELL 4-MONITOR TRADING COMPUTER XEON I7 3.7GHz🚩16GB🚩256GB SSD+3TB🚩DESKTOP,339.00
FAST Custom Lenovo PC i7 | Windows 10 PRO | 1TB SSD 16GB RAM | Mini Desktop PC,209.99
HP M01 DESKTOP PC AMD RYZEN 3 3200G 4.0GHz 16GB 1TB 7200RPM DVDRW RADEON VEGA 8,309.99
"Dell Business Desktop Computer Intel Core i5 PC 8GB 500GB HD Windows 10 22"" LCD",219.99
HP EliteDesk 800 G2 Desktop Mini PC Computer Barebones 35W NO CPU/RAM/HDD/AC,30.00
Raspberry Pi 4 Model B 2GB RAM Computer - Brand New in Box - Ships from Michigan,120.00
,602.99
Dell Optiplex 7050 Tower Computer i7-7700 3.6Ghz 8GB Ram 256GB HD WIN 10,330.00
,144.99
