name,price
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GDDR6X Graphics Card...,"1,225.00"
MSI Radeon Armor RX 580 4GB GDDR5 Graphics Card (RX 580 ARMOR 4G OC),175.00
AMD Radeon RX 6700 XT 12GB GDDR6 Reference Graphics Card,525.00
Dell GeForce GTX 745 4GB DDR3 HDMI TC2P0 Graphics/Video card,42.00
GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GVN105TD54GD),157.00
NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6 Graphics Card (NON LHR) *NEW*,929.88
GeForce GTX 1660 Super 6GB Graphics Card - (Great Condition!),324.99
Shop on eBay,20.00
DELL AMD Radeon R7 450 4 GB GDDR5 2*Display Port Graphics Card 0TDMFC TDMFC,59.99
EVGA GeForce RTX 3060Ti FTW3 ULTRA GAMING 8GB GDDR6 Graphics Card 🔥 BRAND NEW🔥,650.00
SAPPHIRE PULSE Radeon RX 6500 XT 4GB GDDR6 Video Graphics Card 11314-01-20G,229.99
Gigabyte GeForce GTX 1070 G1 Gaming Video/Graphics Cards GV-N1070G1 GAMING-8GD,305.00
PowerColor AMD Radeon RX 570 4GB GDDR5 Graphics Card,149.00
NVIDIA GeForce RTX 3070 Ti Founders Edition 8GB GDDR6X Graphics Card,765.00
EVGA GeForce GTX 1070 GAMING 8GB GDDR5 Graphics Card (08G-P4-5170-KR),125.50
EVGA GeForce GTX 1060 6GB DDR5 Graphics Card ,225.00
HP Nvidia Quadro P400 DP 2GB GDDR5 PCIe Graphics Card ,90.00
"Gigabyte GeForce GV CiE, GTX 980 Ti WindForce, Video Gaming Graphics Card...",249.00
PNY XLR8 NVIDIA GTX 960 2048MB 2GB GRAPHICS CARD,99.00
MSI 1060 OC 6gb Graphics card GPU,200.00
RTX 3060 TI Graphics Card,600.00
Dell AMD Radeon R5 430 2 GB GDDR5 DVI Display Port Graphics Card 0F8PX 1X3TV,23.99
AMD FirePro S7000 4GB GDDR5 PCIE 3.0 Graphics Card,94.95
DELL AMD Radeon R5 240 1GB GDDR3  DVI Display Port Graphics Card 0F9P1R 07W12P,10.99
EVGA GeForce GTX 1070 SC 8GB GDDR5 Graphics Card (08G-P4-6173-KR),192.00
ASUS ROG Strix Radeon RX 5600 XT TOP 6GB GDDR6 Graphics Card,200.00
MSI Gaming GeForce GTX 1070 8GB GDDR5 Graphics Card,100.00
